"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WESF","WSF2","WSF5","WT01","WT02","WT03","WT08","WT10","WT11"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7905","-80.3163","8.8","2015-08-01","5.59",,,,"0.00","   44","0.0","0","82","91","76",,"  350","  120","  160",,"16.1","25.1",,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7905","-80.3163","8.8","2015-08-02","5.37",,,,"0.00","   28","0.0","0","85","91","79",,"  224","  160","  160",,"16.1","23.9",,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7905","-80.3163","8.8","2015-08-03","3.58",,,,"0.04","   52","0.0","0","82","91","76",,"  417","  270","  270",,"16.1","21.9",,,"    1",,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7905","-80.3163","8.8","2015-08-04","5.14",,,,"0.00","   82","0.0","0","84","92","76",,"  655","  110","  110",,"15.0","21.0",,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7905","-80.3163","8.8","2015-08-05","6.71",,,,"0.00","   73","0.0","0","86","92","80",,"  581","  120","  130",,"17.0","23.0",,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7905","-80.3163","8.8","2015-08-06","5.82",,,,"0.00","   84","0.0","0","86","92","80",,"  663","  120","  130",,"14.1","21.0",,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7905","-80.3163","8.8","2015-08-07","6.04",,,,"0.00",,"0.0","0","86","92","79",,"  545","  130","  140",,"15.0","19.9",,,"    1",,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7905","-80.3163","8.8","2015-08-08","4.70",,,,"1.08","   60","0.0","0","84","93","77",,"  475","  200","  210",,"21.9","31.1","    1",,"    1","    1",,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7905","-80.3163","8.8","2015-08-09","4.47",,,,"0.01","   63","0.0","0","84","94","78",,"  496","  260","  200",,"14.1","21.0",,,"    1",,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","25.7905","-80.3163","8.8","2015-08-10","2.46",,,,"1.28","   59","0.0","0","83","92","76",,"  466","  190","  200",,"21.0","29.1","    1",,"    1",,,
